p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.81328898333039,0.982,0.333,0,0,Lamp5
0,2.38605426458608,0.917,0.288,0,0,Pdzrn3
0,2.14684298991964,0.892,0.272,0,0,Igfbp6
0,2.59099334785304,0.772,0.201,0,0,Gsg1l
0,1.90757646030074,0.938,0.4,0,0,Tmem132d
0,2.20185229336645,0.821,0.288,0,0,Calb1
0,1.53337460615005,0.921,0.389,0,0,Satb2
0,1.67899334243378,0.906,0.395,0,0,Gucy1a1
0,2.45986319922512,0.915,0.411,0,0,Rasgrf2
0,1.97802126567249,0.93,0.44,0,0,Cux2
0,1.58665169162263,0.797,0.327,0,0,Ndst3
0,1.79625490381878,0.728,0.279,0,0,Sorcs3
0,1.8241060394853,0.669,0.221,0,0,Sema3a
0,1.81609296946178,0.531,0.143,0,0,Col19a1
0,1.23380272095658,0.871,0.487,0,0,Pde7b
0,1.01684833137542,0.908,0.527,0,0,Fhod3
0,1.79163919636501,0.539,0.161,0,0,Penk
0,1.13709160878244,0.889,0.524,0,0,Meis2
0,1.09335973195575,0.718,0.364,0,0,Syndig1
0,1.33880955872937,0.616,0.273,0,0,Bdnf
0,1.22807847862166,0.946,0.609,0,0,Mapk4
0,1.02576018076179,0.975,0.644,0,0,Rims3
3.38233697866195e-298,1.46300277174272,0.574,0.288,8.38819570708164e-296,0,Wfs1
3.57769034359601e-290,1.2229917728168,0.567,0.269,8.87267205211811e-288,0,Cdh6
5.09742451152242e-264,1.44454462476808,0.399,0.153,1.26416127885756e-261,0,Cdh4
1.78905430235e-194,1.02447086682773,0.574,0.327,4.43685466982801e-192,0,Cpne8
2.33082789620504e-129,1.05256210248611,0.342,0.166,5.7804531825885e-127,0,Npnt
0,4.28292064772068,0.927,0.108,0,1,Cldn5
0,3.90125438330416,0.923,0.14,0,1,Adgrl4
0,3.48498013849457,0.905,0.141,0,1,Pecam1
0,3.05061694832852,0.935,0.176,0,1,Fn1
0,3.65783304410823,0.964,0.22,0,1,Ly6a
0,3.4166209230524,0.843,0.126,0,1,Kdr
0,3.48529693359682,0.822,0.108,0,1,Acvrl1
0,4.05793275963974,0.741,0.065,0,1,Emcn
0,4.02206653326931,0.741,0.088,0,1,Pglyrp1
0,4.15514856387741,0.703,0.061,0,1,Nostrin
0,3.39064427260135,0.697,0.082,0,1,Fgd5
0,3.5316004813387,0.678,0.073,0,1,Cd93
0,4.18254038500731,0.647,0.046,0,1,Sox17
0,3.85019640608575,0.608,0.059,0,1,Zfp366
0,3.25646896176795,0.599,0.077,0,1,Mecom
0,1.77952891231363,0.774,0.264,0,1,Cobll1
0,3.30328131455186,0.554,0.06,0,1,Paqr5
0,3.43801028273933,0.559,0.065,0,1,Slfn5
0,2.31947739367492,0.846,0.403,0,1,Car4
1.10592787705466e-99,1.52554269178463,0.204,0.083,2.74270113509555e-97,1,Cspg4
1.02371608044055e-49,1.41039748977176,0.153,0.074,2.53881587949258e-47,1,Ano1
1.56057318241852e-32,1.35413392899455,0.196,0.124,3.87022149239793e-30,1,Carmn
0,4.14750997448218,0.967,0.145,0,2,Sox10
0,4.72551564290754,0.937,0.116,0,2,Opalin
0,3.82705548474511,0.999,0.313,0,2,Gjc3
0,3.71324577845013,0.83,0.177,0,2,Vwc2l
0,1.78068141377396,0.895,0.298,0,2,Prox1
0,3.77493982795333,0.659,0.084,0,2,Adamtsl1
0,2.79399416386309,0.936,0.385,0,2,Zfp536
0,2.03556108531455,0.791,0.269,0,2,Cobll1
0,2.61868773789929,0.919,0.397,0,2,Sema6a
0,2.16669537150258,0.757,0.235,0,2,Tmem163
0,1.92500247599873,0.902,0.386,0,2,Gfap
0,1.77726776893663,0.777,0.375,0,2,Arhgef28
0,2.17735139580389,0.506,0.104,0,2,Carmn
0,2.11759077306748,0.659,0.26,0,2,Chrm2
0,1.93850479359709,0.975,0.598,0,2,Clmn
0,1.54773436678983,0.688,0.377,0,2,Cdh20
0,1.9422761954835,0.969,0.662,0,2,Gng12
0,2.4033929063924,0.315,0.07,0,2,Fign
0,1.42948214069618,0.991,0.783,0,2,Dpy19l1
1.97230479927288e-264,2.18611886555199,0.3,0.083,4.89131590219674e-262,2,Adamts2
1.04883707335598e-241,1.13856178590511,0.347,0.109,2.60111594192283e-239,2,Gpr17
5.20658240879547e-223,1.21252690326185,0.616,0.364,1.29123243738128e-220,2,Lyz2
1.87897974542679e-209,1.81811117339706,0.25,0.069,4.65986976865844e-207,2,Ano1
2.45665766866756e-199,1.04533049300129,0.79,0.609,6.09251101829554e-197,2,Igfbp5
5.80961277246161e-183,1.56933776046582,0.266,0.083,1.44078396757048e-180,2,Sema3d
1.23065251739195e-142,1.62338920692428,0.386,0.19,3.05201824313203e-140,2,Syt17
7.824971983007e-123,1.50881025562234,0.182,0.056,1.94059305178574e-120,2,Pde11a
1.49043224034753e-120,1.51013009462897,0.332,0.158,3.69627195606188e-118,2,Arhgap6
8.41878213051564e-68,1.20877319558934,0.137,0.05,2.08785796836788e-65,2,Ebf3
1.07137115616517e-43,1.35493199997555,0.149,0.072,2.65700046728962e-41,2,Pkib
9.98832944196673e-42,1.3045357488609,0.108,0.045,2.47710570160775e-39,2,Prss35
1.53323029303399e-29,1.06592927270733,0.205,0.129,3.8024111267243e-27,2,Deptor
0,2.30995442594923,0.766,0.243,0,3,Rfx4
0,2.40179329121698,0.954,0.433,0,3,Slc39a12
0,2.40676393657568,0.715,0.208,0,3,Hapln1
0,2.42584340898582,0.686,0.211,0,3,Gli3
0,1.50459763114401,0.943,0.505,0,3,Aqp4
0,1.28641367690727,0.89,0.492,0,3,Rorb
0,2.14223826468786,0.989,0.597,0,3,Ntsr2
0,1.2405142166153,0.8,0.457,0,3,Rmst
0,2.1463692518076,0.997,0.661,0,3,Acsbg1
0,1.10025851250009,0.977,0.747,0,3,Arc
0,1.38451889953692,0.993,0.807,0,3,Id2
4.98495649698679e-291,1.50583465854163,0.632,0.311,1.23626921125272e-288,3,Lypd6
7.85056307236432e-263,1.2687152005456,0.691,0.378,1.94693964194635e-260,3,Cdh20
5.29319833779408e-141,1.07838581728981,0.473,0.245,1.31271318777293e-138,3,Unc13c
6.80787314059227e-82,1.23149880069697,0.316,0.165,1.68835253886688e-79,3,Cdh4
0,3.84708190378282,0.829,0.128,0,4,Slc44a5
0,3.48448962003667,0.99,0.297,0,4,Prox1
0,3.32798638057144,0.911,0.267,0,4,Plekha2
0,2.95877610662831,0.865,0.254,0,4,Rasl10a
